id,stage,relative_path,role,step,sha256,size_bytes,retention_reason,git_distribution
pretrain_180k_g,pretrain,pretrain_180k/ln_g_00180000.pth,generator,180000,95b06bff6dd6bb1a70b3ec2d5d8fc2c76944b9c4d53a310d73d10aa31c2a915e,10959182,original shifted-anechoic initialization,not_in_git
pretrain_180k_d,pretrain,pretrain_180k/ln_do_00180000.pth,discriminator,180000,0c1792ec6a30d6ad9f615670bb45a619177a4eb42481a0e0daa9a4d628822819,79280988,training-resume pair for the original initialization,not_in_git
finetune_bs16_1999_g,fine_tune,finetune_bs16_1999/ln_g_00001999.pth,generator,1999,fdf3942031277f56b09013893349a286d57a4ffac59493d67037f530efd07646,10959182,main fixed-pair fine-tune endpoint,not_in_git
finetune_bs16_1999_d,fine_tune,finetune_bs16_1999/ln_do_00001999.pth,discriminator,1999,663f3d87bd2c20ad7c9a0c3026c013e19316c83d75f1033ac98fd42c43a01365,79255946,training-resume pair for the main fine-tune,not_in_git
A_plainFT_500_g,fine_tune_control,A_plainFT_500/ln_g_00000500.pth,generator,500,0c7735a9570c79775f324a72581c4f8d2f6b26bed464d10b7ee25ab7da3b58f4,10959182,matched ordinary phone-room fine-tune control,not_in_git
A_plainFT_500_d,fine_tune_control,A_plainFT_500/ln_do_00000500.pth,discriminator,500,d68b67323bad8f950a18020f6774e27f0b917a90c0b75022e70f005b1766f911,79269718,training-resume pair for the matched control,not_in_git
B0_250,pathology_ablation,B0_250/ln_g_00000250.pth,generator,250,f0a77798d3942e57166838efe91cea8ce46617277b640120f7ab410609f72a4c,10959182,practical listening baseline,not_in_git
S6_500,pathology_ablation,S6_500/ln_g_00000500.pth,generator,500,59356d5c20dff5331f7ba0c26f0d7515946b67d43d8bc7ca004c6c4714427249,10959182,explanatory minus-6-dB survival anchor,not_in_git
S3_500,pathology_ablation,S3_500/ln_g_00000500.pth,generator,500,d1ef31ec180b2378fce5a36b5a29ae5a601ed2fa1a26b1b18a81de7941bc6dd9,10959182,best phone-room mean absolute AVQI gap,not_in_git
S3_2000,pathology_ablation,S3_2000/ln_g_00002000.pth,generator,2000,907eeaad203766353011531c99bfaa6582859447c5401fb6ac036b629c70c409,10959182,strongest clean-identity preservation endpoint,not_in_git
avqi_shared_encoder,avqi_diagnostic,avqi_predictors/shared_encoder_head.pt,component_head,diagnostic,f8e9d4217af0ff10beaf6c8e2a64436e0c0c31f740023f4f5e4743626cc8a521,30608,shared-route comparison head,not_in_git
avqi_shared_late,avqi_diagnostic,avqi_predictors/shared_late_head.pt,component_head,diagnostic,9a9f283aba37c086364be129ba361b6eada5fa57ac2ed564183105bcd1c23f66,30572,selected shared-route head,not_in_git
avqi_waveform_predictor,avqi_diagnostic,avqi_predictors/waveform_predictor.pt,frozen_predictor,diagnostic,a4b3be30c45453bc9e1da4c239ea278c2b7582cb9473afdd4d43dea815025470,50274,independent waveform predictor,not_in_git
