sample_id,task,severity,condition,view,relative_path,model_checkpoint_sha256,audio_sha256,size_bytes,sample_rate_hz,distribution
01_healthy_cs,cs,healthy,phone_room_mid,input,01_healthy_cs/input.wav,,37e91393741f84ebb8a50b55c289f3ca2129a05a899f69d5660940d04e04ac9e,159914,16000,private_advisor_only
01_healthy_cs,cs,healthy,phone_room_mid,clean,01_healthy_cs/clean.wav,,c997888bba303859cf80bb1b847564fef959f6d35cf85478bbc11363d77d76aa,159914,16000,private_advisor_only
01_healthy_cs,cs,healthy,phone_room_mid,B0_250,01_healthy_cs/B0_250.wav,f0a77798d3942e57166838efe91cea8ce46617277b640120f7ab410609f72a4c,30af433e244750381ef696a5af38290a95ba9244a24f4b68667e84dce7247a9b,159844,16000,private_advisor_only
01_healthy_cs,cs,healthy,phone_room_mid,S6_500,01_healthy_cs/S6_500.wav,59356d5c20dff5331f7ba0c26f0d7515946b67d43d8bc7ca004c6c4714427249,2936a546dfc32d758c81f71dd174675b619adad69307546fbf42b20095f1906d,159844,16000,private_advisor_only
01_healthy_cs,cs,healthy,phone_room_mid,S3_500,01_healthy_cs/S3_500.wav,d1ef31ec180b2378fce5a36b5a29ae5a601ed2fa1a26b1b18a81de7941bc6dd9,d12e16b6d421df24e8c2d7e4fdda5874c44340154c86c0c659678fb1ac05785c,159844,16000,private_advisor_only
01_healthy_cs,cs,healthy,phone_room_mid,S3_2000,01_healthy_cs/S3_2000.wav,907eeaad203766353011531c99bfaa6582859447c5401fb6ac036b629c70c409,f0c318773ac4f114bf3a26cd3ade5382aa94466f18bc032abfe1aefb495e4a55,159844,16000,private_advisor_only
02_mild_cs,cs,mild,phone_room_mid,input,02_mild_cs/input.wav,,7563d96a292e90b5014899aaa368fb0e770a435742cb0a341d4a325f1ab676b1,192196,16000,private_advisor_only
02_mild_cs,cs,mild,phone_room_mid,clean,02_mild_cs/clean.wav,,e9e65b0a6e0c274d85485cc63ff1ba30e21b3bf530a6039a2e8da6f3bf568096,192196,16000,private_advisor_only
02_mild_cs,cs,mild,phone_room_mid,B0_250,02_mild_cs/B0_250.wav,f0a77798d3942e57166838efe91cea8ce46617277b640120f7ab410609f72a4c,5470b35a2b4fa98167646efd3699b5b8f36ea5cac2f65d9100252505ebde1fab,192044,16000,private_advisor_only
02_mild_cs,cs,mild,phone_room_mid,S6_500,02_mild_cs/S6_500.wav,59356d5c20dff5331f7ba0c26f0d7515946b67d43d8bc7ca004c6c4714427249,6e16521d675342bcad43f78ffc62c1d57dabb9064ef2afb203d2f191b85c6a3e,192044,16000,private_advisor_only
02_mild_cs,cs,mild,phone_room_mid,S3_500,02_mild_cs/S3_500.wav,d1ef31ec180b2378fce5a36b5a29ae5a601ed2fa1a26b1b18a81de7941bc6dd9,80c56a204d4f91560de43423a1a74332757145973696acadd46c342e03010a6f,192044,16000,private_advisor_only
02_mild_cs,cs,mild,phone_room_mid,S3_2000,02_mild_cs/S3_2000.wav,907eeaad203766353011531c99bfaa6582859447c5401fb6ac036b629c70c409,844553a1737671add7c1e6488475002bf0e8cdd3627de66b5fdd8fbcd6214a95,192044,16000,private_advisor_only
03_severe_cs,cs,severe,phone_room_mid,input,03_severe_cs/input.wav,,b76688017f7ebb0f0038ef9a0274037e5b08a5b686b7cdb3886b65a7c0165b5a,156914,16000,private_advisor_only
03_severe_cs,cs,severe,phone_room_mid,clean,03_severe_cs/clean.wav,,73c1f8c85002db1e4240a7784b31bb167f8dbf2d3066635d83226d4aa079f739,156914,16000,private_advisor_only
03_severe_cs,cs,severe,phone_room_mid,B0_250,03_severe_cs/B0_250.wav,f0a77798d3942e57166838efe91cea8ce46617277b640120f7ab410609f72a4c,2f74c07dee77a595b546315f88ca0ce74c37eadbc0fb6331e374b5d9dbe5774e,156844,16000,private_advisor_only
03_severe_cs,cs,severe,phone_room_mid,S6_500,03_severe_cs/S6_500.wav,59356d5c20dff5331f7ba0c26f0d7515946b67d43d8bc7ca004c6c4714427249,8adb40b042a865089718c44d6558b4afcf6773497caa98d597c0e6ab90fb6b95,156844,16000,private_advisor_only
03_severe_cs,cs,severe,phone_room_mid,S3_500,03_severe_cs/S3_500.wav,d1ef31ec180b2378fce5a36b5a29ae5a601ed2fa1a26b1b18a81de7941bc6dd9,5529e6b54b3c7f0f0ff069524899ed885bb872fb32e685f299c256e149e1b710,156844,16000,private_advisor_only
03_severe_cs,cs,severe,phone_room_mid,S3_2000,03_severe_cs/S3_2000.wav,907eeaad203766353011531c99bfaa6582859447c5401fb6ac036b629c70c409,bcda7bcef607e3d0268a3f0c5e6321ba0e03740726996aa7a0182d7315decd74,156844,16000,private_advisor_only
04_severe_sv,sv,severe,phone_room_mid,input,04_severe_sv/input.wav,,f9178cc0bfa04f1a645525470747bb67abad38a8317e10e287e6fedaf626164a,109252,16000,private_advisor_only
04_severe_sv,sv,severe,phone_room_mid,clean,04_severe_sv/clean.wav,,afcb55aa9c21b3f0cac32d93ba7e8818696f361afa81b0af3af1a9f2ae09748c,109252,16000,private_advisor_only
04_severe_sv,sv,severe,phone_room_mid,B0_250,04_severe_sv/B0_250.wav,f0a77798d3942e57166838efe91cea8ce46617277b640120f7ab410609f72a4c,3cc0f52fc6e91581a5486cc67338b0af3f161fd00c4ba863095e2c1f0e5ad5fb,109244,16000,private_advisor_only
04_severe_sv,sv,severe,phone_room_mid,S6_500,04_severe_sv/S6_500.wav,59356d5c20dff5331f7ba0c26f0d7515946b67d43d8bc7ca004c6c4714427249,b7dc990b099a83452571e9cbcd1d7b132114e7ca00d132d8e77812be7eb4145b,109244,16000,private_advisor_only
04_severe_sv,sv,severe,phone_room_mid,S3_500,04_severe_sv/S3_500.wav,d1ef31ec180b2378fce5a36b5a29ae5a601ed2fa1a26b1b18a81de7941bc6dd9,affe0adc7073e8351ec9dafeaf3f421fb4767b37add8371dac4cc5a6950e031e,109244,16000,private_advisor_only
04_severe_sv,sv,severe,phone_room_mid,S3_2000,04_severe_sv/S3_2000.wav,907eeaad203766353011531c99bfaa6582859447c5401fb6ac036b629c70c409,5a48f2a261c95bc4df197c4f063701ad8732c7e8f5b2ca37b234a59a6b5c703c,109244,16000,private_advisor_only
